order_item_id,order_id,product_id,quantity,unit_price,discount_pct
OI00001,ORD-1001,P001,1,1999,0
OI00002,ORD-1001,P006,2,499,10
OI00003,ORD-1002,P003,1,45999,5
OI00004,ORD-1003,P015,2,699,0
OI00005,ORD-1003,P013,1,799,10
OI00006,ORD-1004,P004,1,2999,10
OI00007,ORD-1005,P007,1,1299,0
OI00008,ORD-1005,P009,1,3499,15
OI00009,ORD-1006,P002,1,14999,5
OI00010,ORD-1007,P011,1,1999,10
OI00011,ORD-1007,P012,2,1499,0
OI00012,ORD-1008,P005,1,1499,0
OI00013,ORD-1009,P014,1,1499,5
OI00014,ORD-1009,P015,1,699,0
OI00015,ORD-1010,P008,1,2499,20
OI00016,ORD-1011,P010,2,899,10
OI00017,ORD-1011,P006,1,499,0
OI00018,ORD-1012,P001,1,1999,0
OI00019,ORD-1012,P005,1,1499,15
OI00020,ORD-1013,P003,1,45999,10
OI00021,ORD-1014,P013,2,799,0
OI00022,ORD-1014,P012,1,1499,5
OI00023,ORD-1015,P004,1,2999,0
OI00024,ORD-1016,P007,2,1299,10
OI00025,ORD-1016,P010,1,899,0
OI00026,ORD-1017,P009,1,3499,5
OI00027,ORD-1018,P002,1,14999,0
OI00028,ORD-1018,P005,1,1499,10
OI00029,ORD-1019,P014,2,1499,20
OI00030,ORD-1020,P011,1,1999,0
OI00031,ORD-1020,P006,2,499,5
OI00032,ORD-1021,P008,1,2499,15
OI00033,ORD-1022,P015,1,699,0
OI00034,ORD-1022,P013,1,799,10
OI00035,ORD-1023,P012,1,1499,0
OI00036,ORD-1023,P001,1,1999,5
OI00037,ORD-1024,P003,1,45999,0
OI00038,ORD-1025,P007,1,1299,10
OI00039,ORD-1025,P009,2,3499,20
OI00040,ORD-1025,P010,1,899,0
OI00041,ORD-1026,P004,1,2999,5
OI00042,ORD-1027,P002,1,14999,0
OI00043,ORD-1028,P005,1,1499,5
OI00044,ORD-1028,P006,2,499,0
OI00045,ORD-1029,P001,1,1999,10
OI00046,ORD-1029,P014,1,1499,0
OI00047,ORD-1030,P008,1,2499,15
OI00048,ORD-1030,P011,1,1999,0
OI00049,ORD-1031,P013,1,799,0
OI00050,ORD-1032,P003,1,45999,5
OI00051,ORD-1033,P015,2,699,10
OI00052,ORD-1034,P007,1,1299,0
OI00053,ORD-1034,P012,1,1499,5
OI00054,ORD-1035,P009,1,3499,10
OI00055,ORD-1035,P010,1,899,0
OI00056,ORD-1036,P002,1,14999,0
OI00057,ORD-1036,P006,1,499,10
OI00058,ORD-1037,P004,1,2999,5
OI00059,ORD-1037,P005,1,1499,0
OI00060,ORD-1038,P014,1,1499,10
OI00061,ORD-1038,P015,1,699,0
OI00062,ORD-1039,P011,2,1999,5
OI00063,ORD-1040,P001,1,1999,0
OI00064,ORD-1040,P013,1,799,10
OI00065,ORD-1041,P003,1,45999,0
OI00066,ORD-1042,P008,1,2499,10
OI00067,ORD-1042,P012,1,1499,0
OI00068,ORD-1043,P007,1,1299,5
OI00069,ORD-1044,P009,1,3499,15
OI00070,ORD-1044,P006,2,499,0
OI00071,ORD-1045,P002,1,14999,0
OI00072,ORD-1046,P010,1,899,10
OI00073,ORD-1046,P014,1,1499,0
OI00074,ORD-1047,P004,1,2999,10
OI00075,ORD-1047,P015,1,699,0
OI00076,ORD-1048,P005,1,1499,0
OI00077,ORD-1048,P013,2,799,15
OI00078,ORD-1049,P011,1,1999,0
OI00079,ORD-1049,P001,1,1999,10
OI00080,ORD-1050,P003,1,45999,0
OI00081,ORD-1051,P007,1,1299,0
OI00082,ORD-1051,P008,1,2499,5
OI00083,ORD-1052,P012,1,1499,10
OI00084,ORD-1052,P009,1,3499,0
OI00085,ORD-1053,P002,1,14999,5
OI00086,ORD-1053,P006,2,499,0
OI00087,ORD-1054,P004,1,2999,0
OI00088,ORD-1055,P014,1,1499,10
OI00089,ORD-1055,P010,1,899,0
OI00090,ORD-1056,P015,1,699,0
OI00091,ORD-1056,P013,1,799,10
OI00092,ORD-1057,P001,1,1999,5
OI00093,ORD-1057,P005,1,1499,0
OI00094,ORD-1058,P008,1,2499,10
OI00095,ORD-1058,P011,1,1999,0
OI00096,ORD-1059,P003,1,45999,15
OI00097,ORD-1060,P002,1,14999,0
OI00098,ORD-1060,P007,1,1299,10
